OBJECTID,tipo_muestra,longitude,latitude,Departamento,Municipio,tecnica_medicion,Li_ppm2,Cu_ppm2,Co_ppm2,Ni_ppm2,La_ppm2,Ce_ppm2,Pr_ppm2,Nd_ppm2,Sm_ppm2,Eu_ppm2,Gd_ppm2,Tb_ppm2,Dy_ppm2,Ho_ppm2,Er_ppm2,Tm_ppm2,Yb_ppm2,Lu_ppm2,Sc_ppm2,Y_ppm2
62,SU: Suelo,-73.83797709,5.018232119,CUNDINAMARCA,SESQUILÉ,ICP,,,0.001,,47.4,,,33,,,,0.9,,,,,4.8,,8.1,
200,SU: Suelo,-74.84047559,5.689613997,CALDAS,NORCASIA,ICP,,,15,,21.3,76,,14,3.8,0.9,,-0.5,,,,,2,0.3,14.5,
201,SU: Suelo,-74.84047559,5.689613997,CALDAS,NORCASIA,Plasma (ICP),,7,,24,,,,,,,,,,,,,,,,2
101,SU: Suelo,-74.71589502,6.028277957,ANTIOQUIA,PUERTO NARE,ICP,,,4,,24.8,45,,17,3.9,0.6,,-0.5,,,,,2,0.36,6.7,
102,SU: Suelo,-74.71589502,6.028277957,ANTIOQUIA,PUERTO NARE,Plasma (ICP),,9,,18,,,,,,,,,,,,,,,,7
240,SU: Suelo,-73.83125023,4.99377756,CUNDINAMARCA,SESQUILÉ,ICP,,,0.004,,29.6,,,16,,,,0.6,,,,,4,,10.2,
1097,R: Roca,-76.2557446,6.165707086,ANTIOQUIA,QUIBDÓ,Activación neutrónica,,,122,,,,,,,,,,,,,,,,15.1,
1455,R: Roca,-76.48377127,6.381822594,ANTIOQUIA,URRAO,Activación neutrónica,,,22,,,,,,,,,,,,,,,,22.5,
1578,R: Roca,-76.42357727,6.09330915,CHOCO,MEDIO ATRATO,Activación neutrónica,,,11,,,,,,,,,,,,,,,,15.3,
1751,R: Roca,-76.43047456,6.359155899,ANTIOQUIA,URRAO,Activación neutrónica,,,33,,,,,,,,,,,,,,,,52.9,
1917,R: Roca,-76.24718527,6.249490064,ANTIOQUIA,URRAO,Activación neutrónica,,,50,,,,,,,,,,,,,,,,51.2,
1951,R: Roca,-76.23841194,6.195227034,ANTIOQUIA,QUIBDÓ,Activación neutrónica,,,48,,,,,,,,,,,,,,,,76,
1974,R: Roca,-76.24049753,6.192968491,ANTIOQUIA,QUIBDÓ,Activación neutrónica,,,111,,,,,,,,,,,,,,,,28.1,
1986,R: Roca,-76.24229821,6.196132884,ANTIOQUIA,QUIBDÓ,Activación neutrónica,,,72,,,,,,,,,,,,,,,,80.9,
2013,R: Roca,-76.24151802,6.204088008,ANTIOQUIA,QUIBDÓ,Activación neutrónica,,,43,,,,,,,,,,,,,,,,89.9,
2073,R: Roca,-76.49115668,6.248914477,ANTIOQUIA,URRAO,Activación neutrónica,,,7,,,,,,,,,,,,,,,,20.7,
2160,SU: Suelo,-73.8688396,5.143161647,CUNDINAMARCA,NEMOCÓN,ICP,,,0.005,,22.8,,,23,,,,-0.5,,,,,3,,11.2,
2431,SU: Suelo,-73.90321921,5.148624857,CUNDINAMARCA,TAUSA,ICP,,,0.005,,46.8,,,38,,,,-0.5,,,,,4.6,,12.5,
2331,SU: Suelo,-73.83397877,5.147896797,CUNDINAMARCA,SUESCA,ICP,,,0.013,,37,,,34,,,,-0.5,,,,,3.1,,14.1,
2645,SU: Suelo,-73.9784303,5.152755542,CUNDINAMARCA,TAUSA,ICP,,,0.003,,32,,,21,,,,-0.5,,,,,1.7,,5.7,
2868,SU: Suelo,-74.0027174,5.16994047,CUNDINAMARCA,TAUSA,ICP,,,0.003,,29.2,,,24,,,,-0.5,,,,,1.9,,6.3,
2925,SU: Suelo,-74.0202414,5.181833775,CUNDINAMARCA,TAUSA,ICP,,,0.007,,35.9,,,31,,,,-0.5,,,,,4.3,,11.4,
2949,SU: Suelo,-73.92514274,5.195970192,CUNDINAMARCA,TAUSA,ICP,,,0.003,,49.1,,,35,,,,-0.5,,,,,4,,8.9,
3027,SU: Suelo,-74.12868039,5.332995893,CUNDINAMARCA,SAN CAYETANO,Activación neutrónica,,,10,,34.2,60,,27,4.9,1,,0.9,,,,,3.7,0.55,9.9,
3028,SU: Suelo,-74.12868039,5.332995893,CUNDINAMARCA,SAN CAYETANO,Plasma (ICP),,13,,14,,,,,,,,,,,,,,,,9
3040,SU: Suelo,-74.35340308,5.676859248,CUNDINAMARCA,YACOPÍ,Activación neutrónica,,,9,,12.3,22,,8,2.5,0.9,,-0.5,,,,,1.3,0.2,11.9,
3041,SU: Suelo,-74.35340308,5.676859248,CUNDINAMARCA,YACOPÍ,Plasma (ICP),,5,,16,,,,,,,,,,,,,,,,6
3053,SU: Suelo,-75.0896412,5.6872506,ANTIOQUIA,ARGELIA,ICP,,,11,,21.8,111,,17,4.3,1,,-0.5,,,,,2.6,0.47,20.8,
3054,SU: Suelo,-75.0896412,5.6872506,ANTIOQUIA,ARGELIA,Plasma (ICP),,20,,32,,,,,,,,,,,,,,,,4
3087,SU: Suelo,-74.64983654,5.694970681,CUNDINAMARCA,LA DORADA,ICP,,,12,,34.4,67,,26,5.7,1.5,,0.9,,,,,3.2,0.47,14.7,
3088,SU: Suelo,-74.64983654,5.694970681,CUNDINAMARCA,LA DORADA,Plasma (ICP),,34,,32,,,,,,,,,,,,,,,,20
3132,SU: Suelo,-74.76750031,5.701279849,ANTIOQUIA,SONSÓN,ICP,,,16,,29,51,,19,5.1,1.3,,0.8,,,,,2.5,0.38,15.5,
3133,SU: Suelo,-74.76750031,5.701279849,ANTIOQUIA,SONSÓN,Plasma (ICP),,13,,17,,,,,,,,,,,,,,,,11
3212,SU: Suelo,-75.04942982,5.713639571,ANTIOQUIA,ARGELIA,ICP,,,22,,60,69,,26,6.7,2.2,,0.8,,,,,3.2,0.47,31.3,
3213,SU: Suelo,-75.04942982,5.713639571,ANTIOQUIA,ARGELIA,Plasma (ICP),,75,,18,,,,,,,,,,,,,,,,19
